1,Чистые пруды
2,Бульвар Рокоссовского
3,Потапово
4,Новомосковская
5,Ольховая
6,Ховрино
7,Беломорская
8,Речной вокзал
9,Водный стадион
10,Войковская
11,Пятницкое шоссе
12,Митино
13,Волоколамская
14,Мякинино
15,Строгино
16,Кунцевская
17,Пионерская
18,Филевский парк
19,Багратионовская
20,Фили
