1,#FF0000,Красный
2,#FF9821,Оранжевый
3,#FFF600,Желтый
4,#069D1C,Зеленый
5,#7D7D7D,Серый
10,#0529FF,Синий
11,#07D0FF,Голубой
12,#4F2903,Коричневый
13,#6705FF,Фиолетовый
14,#34FF24,Салатовый
15,#56FFC9,Бирюзовый
16,#7DA9BE,Серо-голубой
